"objects","EMMA_lard","SupCon_lard","EMMA_lrd","SupCon_lrd","EMMA_ard","SupCon_ard"
"allen_wrench","0.8583333333333333","0.8777777777777778","0.8783333333333334","0.8759722222222223","0.7095833333333333","0.7584722222222222"
"apple","0.9916666666666667","0.9958333333333333","0.9769444444444445","0.9783333333333334","0.7959722222222222","0.8927777777777777"
"banana","0.9483333333333333","0.93","0.98","0.97","0.8276666666666667","0.8243333333333333"
"band_aid","0.9097222222222221","0.9020833333333333","0.8919444444444444","0.91625","0.819861111111111","0.8352777777777777"
"bell_pepper","0.9621428571428571","0.9702380952380951","0.9633333333333334","0.9684523809523808","0.8142857142857143","0.8275"
"book","0.9708333333333334","0.9608333333333334","0.9595","0.9595","0.8501666666666666","0.8819999999999999"
"bowl","0.995","0.995","0.995","0.99","0.8765","0.8953333333333333"
"can_opener","0.8093055555555556","0.76875","0.8583333333333333","0.8083333333333333","0.6844444444444444","0.6790277777777777"
"cap","0.78125","0.7854166666666667","0.8708333333333333","0.9375","0.5808333333333333","0.625"
"cell_phone","0.8805555555555556","0.8588888888888888","0.8972222222222223","0.9000000000000001","0.6172222222222222","0.7005555555555556"
"coffee_mug","0.9433333333333334","0.9576388888888888","0.9641666666666666","0.9604166666666667","0.7983333333333333","0.8347222222222221"
"eye_glasses","0.975","0.9611111111111111","0.98125","0.9694444444444444","0.8477777777777776","0.8759722222222223"
"flashlight","0.75","0.5974999999999999","0.71875","0.5695833333333333","0.7458333333333333","0.5810416666666667"
"food_can","0.9615476190476191","0.9833333333333333","0.955","0.9704761904761905","0.7527380952380953","0.8402380952380952"
"food_jar","0.9805555555555555","0.9770833333333333","0.9847222222222223","0.9875","0.8394444444444444","0.87625"
"fork","0.8833333333333333","0.9075","0.8958333333333335","0.8933333333333333","0.7789999999999999","0.7848333333333334"
"gauze","0.8277777777777777","0.8027777777777777","0.8236111111111111","0.8236111111111112","0.7572222222222221","0.7463888888888889"
"hammer","0.9869047619047618","0.9452380952380951","0.9857142857142858","0.9529761904761904","0.882142857142857","0.8647619047619047"
"hand_towel","0.9533333333333334","0.9338888888888889","0.9625","0.951388888888889","0.6269444444444445","0.7200000000000002"
"lemon","0.985","0.98","0.9623333333333334","0.9573333333333334","0.9193333333333332","0.9445"
"lightbulb","0.7802380952380953","0.7884523809523809","0.7903571428571429","0.8","0.6573809523809524","0.7079761904761905"
"lime","0.9638888888888889","0.9833333333333333","0.9334722222222223","0.9401388888888889","0.7816666666666666","0.8065277777777777"
"marker","0.8359523809523809","0.8579761904761904","0.8401190476190477","0.8505952380952381","0.7620238095238095","0.784047619047619"
"measuring_tape","0.99375","0.984375","0.984375","0.975","0.8255208333333333","0.8220833333333332"
"medicine_bottle","0.9819444444444444","0.975","0.9625","0.96875","0.855","0.8547222222222222"
"mouse","0.9805555555555556","0.9916666666666667","0.9916666666666667","0.9916666666666667","0.8269444444444445","0.8838888888888888"
"notebook","0.8777777777777779","0.8916666666666667","0.9111111111111111","0.9","0.65","0.6863888888888889"
"onion","0.9243750000000001","0.921875","0.9329166666666666","0.9335416666666667","0.7925000000000001","0.8185416666666667"
"pencil","0.9638888888888888","0.9736111111111111","0.9506944444444445","0.9548611111111112","0.7565277777777778","0.8327777777777778"
"picture_frame","0.9502380952380952","0.9470238095238094","0.9511904761904764","0.9344047619047618","0.7766666666666666","0.8132142857142857"
"pill_cutter","0.5866666666666667","0.725","0.5041666666666667","0.6583333333333333","0.5700000000000001","0.6391666666666667"
"plate","0.9958333333333333","0.9875","0.9881944444444444","0.9895833333333334","0.8577777777777779","0.8793055555555556"
"pliers","0.9075","0.8975","0.92","0.9066666666666666","0.8203333333333334","0.8098333333333333"
"potato","0.9625","0.9683333333333333","0.9766666666666667","0.9783333333333333","0.8240000000000001","0.8376666666666667"
"prescription_medicine_bottle","0.975","0.975","0.968125","0.984375","0.815625","0.8433333333333334"
"scissors","0.9553571428571429","0.963095238095238","0.9583333333333335","0.9595238095238093","0.8892857142857142","0.8714285714285714"
"screwdriver","0.6997619047619048","0.7379761904761905","0.6710714285714285","0.7413095238095238","0.7153571428571429","0.6855952380952383"
"shampoo","0.9433333333333332","0.945","0.9291666666666667","0.9208333333333333","0.7985","0.8181666666666665"
"soda_bottle","0.9916666666666666","0.9928571428571429","0.9916666666666666","0.9928571428571429","0.8239285714285713","0.8582142857142857"
"sponge","0.8037500000000002","0.8583333333333332","0.7620833333333333","0.85","0.7229166666666667","0.755"
"spoon","0.8758333333333335","0.8125","0.8548333333333333","0.7844999999999999","0.7973333333333333","0.7201666666666665"
"stapler","0.8641666666666666","0.826388888888889","0.8626388888888888","0.8373611111111111","0.7530555555555556","0.7377777777777778"
"syringe","0.9458333333333333","0.9555555555555555","0.9370833333333333","0.9502777777777778","0.8081944444444444","0.8433333333333333"
"tissue_box","0.79875","0.7570833333333333","0.8570833333333333","0.8204166666666666","0.6287499999999999","0.6383333333333333"
"toothbrush","0.9819444444444445","0.9527777777777778","0.9576388888888889","0.9430555555555556","0.9361111111111112","0.8916666666666667"
"toothpaste","0.961111111111111","0.9222222222222222","0.9277777777777777","0.9104166666666667","0.8631944444444444","0.8284722222222222"
"water_bottle","0.9822916666666666","0.98125","0.9752083333333333","0.9786458333333334","0.8947916666666667","0.9358333333333333"
