objects,EMMA_lard,SupCon_lard,EMMA_lrd,SupCon_lrd,EMMA_ard,SupCon_ard,EMMA_lr,EMMA_ld,EMMA_ar,EMMA_ad,EMMA_la,EMMA_lar,EMMA_lad,SupCon_lr,SupCon_ld,SupCon_ar,SupCon_ad,SupCon_la,SupCon_lar,SupCon_lad
allen_wrench,0.858333333,0.877777778,0.878333333,0.875972222,0.709583333,0.758472222,0.820138889,0.893333333,0.658194444,0.731111111,0.768055556,0.784305556,0.867361111,0.868333333,0.864583333,0.744166667,0.74375,0.76875,0.855555556,0.876388889
apple,0.991666667,0.995833333,0.976944444,0.978333333,0.795972222,0.892777778,0.976944444,0.971388889,0.791944444,0.777083333,0.859027778,0.979166667,0.986111111,0.977361111,0.978333333,0.882361111,0.887638889,0.890972222,0.977777778,0.991666667
banana,0.948333333,0.93,0.98,0.97,0.827666667,0.824333333,0.99,0.923333333,0.839,0.786333333,0.944166667,0.953333333,0.880833333,0.963333333,0.885833333,0.847,0.774166667,0.946666667,0.94,0.8575
band_aid,0.909722222,0.902083333,0.891944444,0.91625,0.819861111,0.835277778,0.816527778,0.956527778,0.771805556,0.868472222,0.906111111,0.815694444,0.961111111,0.803472222,0.95375,0.7475,0.868472222,0.902638889,0.811805556,0.948194444
bell_pepper,0.962142857,0.970238095,0.963333333,0.968452381,0.814285714,0.8275,0.941666667,0.96452381,0.795833333,0.793095238,0.844761905,0.925,0.951428571,0.943452381,0.950595238,0.813690476,0.798809524,0.840595238,0.930357143,0.941071429
book,0.970833333,0.960833333,0.9595,0.9595,0.850166667,0.882,0.965,0.9645,0.826833333,0.821,0.929166667,0.965833333,0.948666667,0.975333333,0.937,0.897333333,0.8365,0.9225,0.978333333,0.943333333
bowl,0.995,0.995,0.995,0.99,0.8765,0.895333333,0.99,0.995,0.853166667,0.876,0.8995,0.99,0.995,0.99,0.995,0.8595,0.901833333,0.911666667,0.988333333,0.995
can_opener,0.809305556,0.76875,0.858333333,0.808333333,0.684444444,0.679027778,0.807916667,0.845833333,0.627361111,0.666666667,0.858888889,0.758611111,0.806944444,0.753055556,0.791666667,0.61125,0.649444444,0.844444444,0.714444444,0.736111111
cap,0.78125,0.785416667,0.870833333,0.9375,0.580833333,0.625,0.85625,0.879166667,0.492916667,0.640416667,0.845833333,0.666666667,0.860416667,0.891666667,0.891666667,0.53125,0.644166667,0.86875,0.7425,0.80625
cell_phone,0.880555556,0.858888889,0.897222222,0.9,0.617222222,0.700555556,0.933333333,0.836111111,0.662777778,0.588333333,0.876388889,0.863888889,0.7625,0.8,0.838888889,0.678333333,0.694166667,0.927777778,0.815833333,0.809722222
coffee_mug,0.943333333,0.957638889,0.964166667,0.960416667,0.798333333,0.834722222,0.959722222,0.908611111,0.814305556,0.791527778,0.858611111,0.933611111,0.9125,0.959027778,0.920416667,0.850833333,0.827361111,0.905833333,0.936805556,0.91875
