Method,speech/depth,speech/RGB,text/depth,text/RGB,text/speech/\\depth,text/speech/\\RGB,speech/RGB/\\depth,text/RGB/\\Depth,all
EMMA-0.7,20.6$\pm$0.29,20.96$\pm$0.3,33.71$\pm$1.61,30.19$\pm$1.24,29.18$\pm$2.17,25.71$\pm$1.02,20.71$\pm$0.37,33.98$\pm$2.36,29.25$\pm$2.17
EMMA-1,20.7$\pm$0.36,20.69$\pm$0.43,45.17$\pm$0.58,46.91$\pm$1.26,39.37$\pm$0.77,40.84$\pm$2.15,20.8$\pm$0.43,48.53$\pm$0.67,42.68$\pm$1.46
EMMA-2,20.85$\pm$0.38,20.84$\pm$0.37,55.9$\pm$1.1,57.12$\pm$0.65,52.04$\pm$0.81,53.55$\pm$1.25,20.76$\pm$0.37,58.92$\pm$1.64,56.06$\pm$1.28
EMMA-5,20.91$\pm$0.32,20.85$\pm$0.45,68.01$\pm$1.08,69.69$\pm$0.91,65.54$\pm$0.64,67.18$\pm$0.8,21.06$\pm$0.51,71.52$\pm$0.6,69.71$\pm$0.59
EMMA-10,31.63$\pm$8.47,33.1$\pm$9.64,75.33$\pm$0.89,78.36$\pm$0.75,73.35$\pm$0.63,76.3$\pm$0.97,33.49$\pm$9.86,79.81$\pm$0.21,78.52$\pm$0.65
EMMA-25,52.04$\pm$1.01,54.49$\pm$0.52,80.31$\pm$0.56,83.19$\pm$0.92,78.07$\pm$1.14,81.31$\pm$0.97,56.32$\pm$0.63,85.06$\pm$0.81,83.61$\pm$0.64
EMMA-30,53.05$\pm$0.64,55.25$\pm$0.66,80.84$\pm$0.85,83.57$\pm$0.93,78.49$\pm$0.3,81.67$\pm$1.12,56.88$\pm$1.12,85.62$\pm$0.65,84.11$\pm$0.41
EMMA-35,53.76$\pm$0.99,56.09$\pm$0.73,81.17$\pm$0.81,83.85$\pm$0.96,78.85$\pm$0.68,81.96$\pm$1.05,58.13$\pm$1.19,86.08$\pm$0.76,84.46$\pm$0.28
EMMA-45,56.65$\pm$0.7,58.17$\pm$1.22,81.58$\pm$0.97,84.02$\pm$1.21,79.69$\pm$0.62,82.51$\pm$1.74,60.44$\pm$1.06,86.25$\pm$1.03,85.06$\pm$1.17
EMMA-50,57.74$\pm$0.78,59.69$\pm$1.24,81.71$\pm$0.91,84.34$\pm$1.49,79.92$\pm$0.61,82.9$\pm$1.51,61.81$\pm$0.87,86.42$\pm$1.07,85.37$\pm$0.61
EMMA-75,60.85$\pm$0.46,63.02$\pm$1.17,82.41$\pm$1.05,84.7$\pm$0.83,81.37$\pm$0.83,83.93$\pm$1.15,65.23$\pm$0.46,87.11$\pm$0.9,86.66$\pm$0.57
EMMA-100,63.54$\pm$0.53,65.07$\pm$1.01,\textbf{82.78}$\pm$0.97,\textbf{85.07}$\pm$1.42,\textbf{82.16}$\pm$0.64,\textbf{84.37}$\pm$1.23,67.69$\pm$0.81,\textbf{87.38}$\pm$0.71,\textbf{87.15}$\pm$0.72
SupCon-1,20.77$\pm$0.48,20.83$\pm$0.35,24.26$\pm$1.34,23.6$\pm$1.12,22.58$\pm$0.54,22.27$\pm$0.79,20.75$\pm$0.32,24.51$\pm$1.16,22.67$\pm$0.7
SupCon-2,20.74$\pm$0.41,20.9$\pm$0.68,25.78$\pm$1.17,24.9$\pm$0.84,23.2$\pm$0.48,23.06$\pm$0.37,20.71$\pm$0.36,26.08$\pm$1.29,23.31$\pm$0.67
SupCon-5,20.77$\pm$0.51,20.84$\pm$0.55,28.45$\pm$1.53,26.8$\pm$0.98,24.43$\pm$0.77,23.92$\pm$0.74,20.75$\pm$0.59,28.67$\pm$1.34,24.5$\pm$0.8
