Method,speech/depth,speech/RGB,text/depth,text/RGB,text/speech/\\depth,text/speech/\\RGB,speech/RGB/\\depth,text/RGB/\\Depth,all
EMMA-0.7,46.05$\pm$0.24,46.19$\pm$0.23,56.9$\pm$1.33,54.05$\pm$0.92,53.26$\pm$1.69,50.46$\pm$0.9,46.08$\pm$0.23,57.03$\pm$0.98,53.08$\pm$1.54
EMMA-1,46.1$\pm$0.1,46.04$\pm$0.21,65.94$\pm$0.49,67.14$\pm$0.76,61.62$\pm$0.48,62.71$\pm$1.07,46.1$\pm$0.23,68.28$\pm$0.45,64.03$\pm$0.75
EMMA-2,46.17$\pm$0.21,46.07$\pm$0.17,73.49$\pm$0.77,74.25$\pm$0.45,70.86$\pm$0.51,71.83$\pm$0.81,46.16$\pm$0.22,75.46$\pm$0.75,73.52$\pm$0.8
EMMA-5,46.18$\pm$0.11,46.24$\pm$0.2,81.27$\pm$0.71,82.32$\pm$0.46,79.78$\pm$0.41,80.78$\pm$0.48,46.37$\pm$0.32,83.4$\pm$0.36,82.36$\pm$0.25
EMMA-10,55.13$\pm$6.88,56.05$\pm$7.71,85.61$\pm$0.58,87.47$\pm$0.46,84.49$\pm$0.5,86.37$\pm$0.56,56.42$\pm$7.95,88.36$\pm$0.16,87.7$\pm$0.46
EMMA-25,70.16$\pm$0.79,71.83$\pm$0.25,88.44$\pm$0.37,90.21$\pm$0.49,87.28$\pm$0.52,89.26$\pm$0.55,73.07$\pm$0.39,91.36$\pm$0.41,90.72$\pm$0.34
EMMA-30,70.8$\pm$0.66,72.33$\pm$0.41,88.77$\pm$0.47,90.39$\pm$0.58,87.57$\pm$0.19,89.45$\pm$0.63,73.48$\pm$0.72,91.68$\pm$0.33,91.02$\pm$0.23
EMMA-35,71.34$\pm$0.74,72.9$\pm$0.54,89.0$\pm$0.39,90.54$\pm$0.63,87.72$\pm$0.35,89.6$\pm$0.52,74.24$\pm$0.81,91.92$\pm$0.42,91.2$\pm$0.16
EMMA-45,73.16$\pm$0.57,74.17$\pm$0.81,89.26$\pm$0.39,90.69$\pm$0.58,88.22$\pm$0.33,89.9$\pm$1.04,75.71$\pm$0.69,92.03$\pm$0.57,91.53$\pm$0.63
EMMA-50,73.94$\pm$0.46,75.16$\pm$0.8,89.27$\pm$0.5,90.83$\pm$0.88,88.35$\pm$0.29,90.18$\pm$0.91,76.61$\pm$0.54,92.12$\pm$0.63,91.69$\pm$0.45
EMMA-75,75.99$\pm$0.39,77.32$\pm$0.74,89.66$\pm$0.42,91.02$\pm$0.54,89.24$\pm$0.41,90.72$\pm$0.49,78.86$\pm$0.31,92.54$\pm$0.61,92.42$\pm$0.35
EMMA-100,77.63$\pm$0.29,78.66$\pm$0.64,\textbf{89.87}$\pm$0.5,\textbf{91.26}$\pm$0.86,\textbf{89.66}$\pm$0.36,\textbf{90.97}$\pm$0.66,80.32$\pm$0.45,\textbf{92.71}$\pm$0.5,\textbf{92.72}$\pm$0.47
SupCon-1,46.12$\pm$0.28,46.16$\pm$0.26,49.13$\pm$1.11,48.42$\pm$0.91,47.66$\pm$0.5,47.34$\pm$0.38,46.1$\pm$0.22,49.24$\pm$1.22,47.67$\pm$0.61
SupCon-2,46.09$\pm$0.29,46.14$\pm$0.55,50.34$\pm$0.95,49.45$\pm$0.54,48.16$\pm$0.37,47.89$\pm$0.23,46.06$\pm$0.18,50.52$\pm$0.94,48.22$\pm$0.53
SupCon-5,46.14$\pm$0.29,46.13$\pm$0.09,52.65$\pm$1.13,51.06$\pm$0.53,49.3$\pm$0.68,48.72$\pm$0.63,46.07$\pm$0.38,52.69$\pm$0.91,49.3$\pm$0.58
SupCon-10,46.09$\pm$0.32,46.11$\pm$0.22,62.34$\pm$1.65,63.17$\pm$2.33,56.09$\pm$1.76,56.58$\pm$2.19,46.09$\pm$0.15,63.82$\pm$2.09,57.26$\pm$2.04
SupCon-25,46.49$\pm$0.13,46.35$\pm$0.18,83.77$\pm$0.79,84.87$\pm$0.61,80.71$\pm$0.78,81.48$\pm$0.6,46.39$\pm$0.33,85.73$\pm$0.62,83.25$\pm$0.68
SupCon-30,47.72$\pm$1.22,47.79$\pm$1.51,85.89$\pm$0.56,87.03$\pm$0.36,83.45$\pm$0.4,84.37$\pm$0.48,48.02$\pm$1.62,87.87$\pm$0.41,86.27$\pm$0.62
SupCon-35,69.57$\pm$1.07,72.1$\pm$0.78,87.55$\pm$0.58,89.08$\pm$0.4,87.04$\pm$0.57,89.01$\pm$0.34,72.83$\pm$1.12,90.46$\pm$0.11,90.34$\pm$0.24
SupCon-45,74.2$\pm$0.96,76.31$\pm$0.31,88.24$\pm$0.62,89.8$\pm$0.57,87.71$\pm$0.82,89.69$\pm$0.61,77.58$\pm$0.76,91.15$\pm$0.5,91.16$\pm$0.35
SupCon-50,75.17$\pm$0.37,77.18$\pm$0.32,88.2$\pm$0.47,90.02$\pm$0.63,87.75$\pm$0.62,89.93$\pm$0.59,78.23$\pm$0.31,91.25$\pm$0.54,91.25$\pm$0.28
SupCon-75,77.06$\pm$0.6,78.79$\pm$0.47,88.79$\pm$0.59,90.3$\pm$0.76,88.32$\pm$0.56,90.14$\pm$0.7,80.16$\pm$0.39,91.7$\pm$0.55,91.68$\pm$0.54
SupCon-100,\textbf{78.18}$\pm$0.58,\textbf{79.69}$\pm$0.54,89.04$\pm$0.88,90.56$\pm$0.74,88.75$\pm$0.66,90.5$\pm$0.69,\textbf{81.2}$\pm$0.39,91.96$\pm$0.42,92.03$\pm$0.7
Geometric-0.7,46.09$\pm$0.3,46.07$\pm$0.13,54.22$\pm$1.4,51.71$\pm$0.91,51.64$\pm$1.53,49.32$\pm$0.67,46.06$\pm$0.32,54.55$\pm$1.56,51.58$\pm$1.26
Geometric-1,46.08$\pm$0.43,46.09$\pm$0.3,60.75$\pm$0.63,60.95$\pm$0.98,57.07$\pm$0.8,56.77$\pm$1.07,46.07$\pm$0.33,62.86$\pm$0.69,58.93$\pm$0.47
