worker_id	object_instance	wav_name	transcription_text
0295	176712000000_tomato	176712000000_audio.wav	'red tomato with green stem'
0295	208185000000_tomato	208185000000_audio.wav	'red tomato soup circular sphere with green stem'
0295	233938000000_lettuce	233938000000_audio.wav	'green leaf lettuce Ellen gate is oval shape'
0295	263953000000_apple	263953000000_audio.wav	'Redd's Apple circular shape bright red color'
0295	281416000000_tomato	281416000000_audio.wav	'not tomato circular circular shape with green star like stamp'
0295	309549000000_mug	309549000000_audio.wav	'white cup with a handle for drinking water'
0295	334601000000_bowl	334601000000_audio.wav	'a sphere cut in half through collaborative cut in half a dish to hold liquid'
0295	354982000000_bread	354982000000_audio.wav	'brown color Square'
0295	385535000000_lettuce	385535000000_audio.wav	'green lattice red tomato water bottle'
0322	1004828000000_tomato	1004828000000_audio.wav	'that is a tomato they're usually red and the US are legally considered a fruit but across the world are vegetable it's circular it's garbled bulbs and cruise on it it's a green top'
0322	1037755000000_mug	1037755000000_audio.wav	'that is a cup used to hold liquid soap your hand to have to use your hand to usually around 12 oz that one is white with a handle'
0322	1064418000000_bowl	1064418000000_audio.wav	'That is bull it is a gray color it's kind of like a half of a cylindrical shell is used to hold just food when it was the food'
0322	766238000000_bread	766238000000_audio.wav	'None'
0322	879353000000_lettuce	879353000000_audio.wav	'None'
0322	930558000000_apple	930558000000_audio.wav	'that is an apple it's a fruit grows on trees it's red and kind of an elongated Circle almost like an oval and sees her beating as well'
0928	2030562000000_bread	2030562000000_audio.wav	'this is brown bread love it's made out of pizza or a yeast and then making out with do of recurrent list and then you have to bake it in the oven and then you can get it it's it's it's a it's an food item so you can have it in your breakfast lunch dinner whenever you'
0928	2062708000000_lettuce	2062708000000_audio.wav	'this is cabbage it can sometimes also be known as I spoke latest it's a vegetable and it's it's it's it's a used in salad and some other food dishes'
0928	2107127000000_apple	2107127000000_audio.wav	'this is the desert right Apple Pizza fruit and you can be solid faced'
0928	2146852000000_tomato	2146852000000_audio.wav	'it today tomato it's it's also food and it's also used in salads and some other fruit'
0928	2170036000000_mug	2170036000000_audio.wav	'is it a white mug can be used to but have you what I have water or coffee or any kind of drink you want'
0928	2207642000000_bowl	2207642000000_audio.wav	'this is all Gray colored ball this can be used to put your food in and this can also be used to store something else'
2255	2728032000000_bread	2728032000000_audio.wav	'it's a loaf of bread originally you can search for snack or eating'
2255	2753570000000_lettuce	2753570000000_audio.wav	'I think it's such a bitch it's kind of vegetable and it's used in our country we use it for making a vegetable with goes along with the braids'
2255	2782789000000_apple	2782789000000_audio.wav	'it's an apple its fruit and it is very healthy and if you don't want to get sick it's recommended to eat an apple everyday'
2255	2805288000000_tomato	2805288000000_audio.wav	'it's tomato it's considered a vegetable and it contains 90% of water'
2255	2831654000000_mug	2831654000000_audio.wav	'it's a mug it's used for drinking coffee tea'
2255	2847049000000_bowl	2847049000000_audio.wav	'it's a bowl and we used it for eating'
3470	565391000000_bread	565391000000_audio.wav	'oh okay so it's a loaf of bread and it is made of Wheat and it is made by baking is that enough'
3470	582536000000_lettuce	582536000000_audio.wav	'okay it's a cabbage I just met all it is being thrown its vegetable and yeah. That is what I want to know about cabbage'
3470	601551000000_apple	601551000000_audio.wav	'it is an apple it is red and color it is when grown farms and it is quite famous in USA'
3470	625126000000_tomato	625126000000_audio.wav	'it's a bell pepper it's spreading alerts use for making vegetables and oh yeah that's it'
3470	644578000000_mug	644578000000_audio.wav	'I got to pick up it's a it's used for drinking coffee or tea or milk or anything like what is liquid and it's white in color at cylindrical'
3470	662670000000_bowl	662670000000_audio.wav	'it's about how it's used for eating anyting it's a Harvest Fair at its green color and it looks'
3545	1055304000000_bread	1055304000000_audio.wav	'all right loaf of bread is what it's referred to low transparency often Brown and color oblong wider than it is tall usually I don't know about 12 to 13 in in length about 2in high often used for eating and caloric'
3545	1084767000000_lettuce	1084767000000_audio.wav	'this is referred to as a head of lettuce also used for caloric consumption also oblong longer than it is tall low transparency often green and color do can sometimes be brownish plant also made a plant matter as it is a'
3545	1110052000000_apple	1110052000000_audio.wav	'this is referred to as an apple it is what is also known as a fruit it is low transparency red in color typically can also come in green or yellow also used for eating'
3545	1138373000000_tomato	1138373000000_audio.wav	'this is known as a tomato it is both a fruit and a vegetable categorized by it's often orangish red flesh low transparency usually has a stem at the top can also come in green and yellow'
3545	1161700000000_mug	1161700000000_audio.wav	'this is a mug it is a container to hold fluid often a cylindrical shape that is Hollow in the center and is usually categorized by the handle that it has on the side often made of clay or other than'
3545	1190236000000_bowl	1190236000000_audio.wav	'this would be a bowl another container for holding things it could be a fluid it could be a solid commonly used to hold food usually it is a spheroid that is cut in half in Hollywood in the center can be any transparency or any material so long as it is a half Sphere for holding up'
3931	1011252000000_bowl	1011252000000_audio.wav	'feasible it is used in many ways like you can use it by having breakfast cereals you can use it for making food like mixing items it's basically a kitchen utensils you can use it'
3931	862992000000_bread	862992000000_audio.wav	'today's a loaf of bread so you can eat it'
3931	867803000000_bread	867803000000_audio.wav	'yeah it's a braid'
3931	870618000000_bread	870618000000_audio.wav	'it's a loaf of bread'
3931	875718000000_lettuce	875718000000_audio.wav	'these letters'
3931	880880000000_lettuce	880880000000_audio.wav	'is the lettuce lettuce'
